year,total,TPH,TPE,TYC,TXG,TNN,KHH,ILN,HSH,MAL,CWH,NTO,YLH,CHY,IUH,TTT,HWA,PEH,KLU,HSC,CYI,KMN,LNN
2003,"21,866","2,616","2,768","2,928","2,873","1,681","2,428",689,425,281,"2,210",352,595,397,414,162,418,77,146,61,381,0,14
2004,"22,180","2,554","2,911","1,791","2,750","1,655","3,209","1,161",521,250,"1,677",370,533,454,424,205,575,45,567,152,355,56,27
2005,"109,471","17,872","9,391","5,733","12,858","8,696","17,828","4,067",969,"1,880","6,143","1,793","5,590","3,920","5,449",599,"1,161",477,"2,578",405,"2,376",90,45
2006,"123,360","22,221","10,628","6,002","14,115","8,344","17,952","2,949","1,068","2,598","9,183","1,823","7,969","5,131","4,614",934,"1,327",376,"3,211",684,"2,627",144,40
2007,"94,284","14,608","7,027","4,974","12,330","7,262","11,428","2,247","1,130","2,427","9,299","1,503","6,337","3,501","3,824",642,942,347,"2,195",927,"1,521",203,33
2008,"64,592","10,207","5,421","5,704","8,783","4,506","7,387","2,191","1,106","2,194","5,393","1,253","2,450","1,194","2,029",518,926,280,"1,606",846,668,150,40
2009,"70,432","11,327","6,026","7,183","9,936","5,218","7,582","2,563","1,363","2,000","4,710","1,881","1,902","1,449","2,173",484,"1,047",310,"1,399",931,"1,005",194,41
2010,"53,721","8,968","5,340","5,037","6,889","3,851","5,583","1,677",947,"1,521","3,986","1,075","1,493","1,041","2,440",450,729,138,"1,065",664,910,144,22
2011,"48,765","9,707","4,302","3,563","5,714","3,730","5,318","1,670",811,"1,391","3,615","1,019","1,195","1,152","1,688",396,593,150,"1,214",772,833,118,21
2012,"64,959","12,247","6,513","4,805","8,182","4,817","7,335","1,885","1,306","1,453","4,919","1,390","1,642","1,333","1,694",474,"1,237",232,"1,180","1,154","1,228",176,49
2013,"96,909","17,005","9,703","6,654","13,001","7,319","12,372","2,331","1,784","2,259","5,941","1,840","2,289","2,340","3,659",699,"1,683",259,"1,488","1,684","2,829",278,64
2014,"125,520","20,728","10,484","9,773","16,725","10,895","17,178","2,921","2,174","2,631","5,582","2,607","2,682","3,267","5,587",732,"2,360",518,"3,223","2,108","3,836",233,37
2015,"153,148","27,606","11,271","13,478","17,977","12,391","23,929","2,565","2,370","2,662","5,764","3,468","3,633","4,340","6,239","1,017","2,378",482,"5,223","2,398","4,684",189,64
2016,"154,844","25,463","11,580","13,388","19,160","11,783","23,954","2,337","2,495","2,477","6,265","5,506","4,243","2,997","6,559","1,337","2,711",379,"5,272","3,164","4,471",299,42
2017,"192,076","32,899","14,808","18,133","23,837","15,569","28,405","3,519","2,905","2,850","9,496","4,590","5,555","3,309","8,872","2,057","3,091",536,"5,001","3,640","3,882",401,69
